threshold,accuracy,precision,recall,f1_score,apcer,bpcer,far,frr,tp,tn,fp,fn
0.1,0.3840870062965083,0.3830155979202773,0.9880774962742176,0.5520399666944213,0.9925650557620818,0.011922503725782414,0.9925650557620818,0.011922503725782414,663,8,1068,8
0.2,0.38351459645105895,0.36412315930388217,0.8107302533532041,0.502540415704388,0.8828996282527881,0.18926974664679583,0.8828996282527881,0.18926974664679583,544,126,950,127
0.3,0.4333142530051517,0.3458937198067633,0.533532041728763,0.4196951934349355,0.629182156133829,0.46646795827123694,0.629182156133829,0.46646795827123694,358,399,677,313
0.3227343261241913,0.45163136805953064,0.3396648044692737,0.45305514157973176,0.388250319284802,0.5492565055762082,0.5469448584202683,0.5492565055762082,0.5469448584202683,304,485,591,367
0.4,0.49055523755008584,0.28901734104046245,0.22354694485842028,0.25210084033613445,0.3429368029739777,0.7764530551415797,0.3429368029739777,0.7764530551415797,150,707,369,521
0.5,0.5621064682312535,0.2863636363636364,0.09388971684053651,0.1414141414141414,0.14591078066914498,0.9061102831594635,0.14591078066914498,0.9061102831594635,63,919,157,608
0.6,0.5855752718946766,0.1044776119402985,0.010432190760059613,0.018970189701897018,0.055762081784386616,0.9895678092399404,0.055762081784386616,0.9895678092399404,7,1016,60,664
0.7,0.6101888952489983,0.0,0.0,0.0,0.00929368029739777,1.0,0.00929368029739777,1.0,0,1066,10,671
0.8,0.6153405838580424,0.0,0.0,0.0,0.0009293680297397769,1.0,0.0009293680297397769,1.0,0,1075,1,671
0.9,0.6159129937034917,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1076,0,671
