threshold,accuracy,precision,recall,f1_score,apcer,bpcer,far,frr,tp,tn,fp,fn
0.1,0.3840870062965083,0.3840870062965083,1.0,0.555004135649297,1.0,0.0,1.0,0.0,671,0,1076,0
0.2,0.3840870062965083,0.3840870062965083,1.0,0.555004135649297,1.0,0.0,1.0,0.0,671,0,1076,0
0.3,0.3840870062965083,0.3840870062965083,1.0,0.555004135649297,1.0,0.0,1.0,0.0,671,0,1076,0
0.4,0.3840870062965083,0.38355376653248996,0.9940387481371088,0.5535269709543569,0.9962825278810409,0.005961251862891207,0.9962825278810409,0.005961251862891207,667,4,1072,4
0.5,0.41728677733257014,0.3879922530664945,0.8956780923994039,0.5414414414414415,0.8810408921933085,0.10432190760059612,0.8810408921933085,0.10432190760059612,601,128,948,70
0.5731797814369202,0.5603892386949055,0.44300822561692127,0.5618479880774963,0.49540078843626806,0.44052044609665425,0.43815201192250375,0.44052044609665425,0.43815201192250375,377,602,474,294
0.6,0.5855752718946766,0.4462474645030426,0.32786885245901637,0.37800687285223367,0.2537174721189591,0.6721311475409836,0.2537174721189591,0.6721311475409836,220,803,273,451
0.7,0.6141957641671437,0.0,0.0,0.0,0.0027881040892193307,1.0,0.0027881040892193307,1.0,0,1073,3,671
0.8,0.6159129937034917,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1076,0,671
0.9,0.6159129937034917,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1076,0,671
