model_name,roc_auc,eer,eer_threshold,eer_accuracy,eer_apcer,eer_bpcer,eer_f1,t0.5_accuracy,t0.5_apcer,t0.5_bpcer,t0.5_f1,t0.7_accuracy,t0.7_apcer,t0.7_bpcer,t0.7_f1
Custom_ViT_FineTuned,0.5665038310461554,0.45260223048327136,0.5597425699234009,0.54779622209502,0.45260223048327136,0.45156482861400893,0.48230668414154654,0.5248998282770464,0.5771375464684015,0.3114754098360656,0.5267958950969214,0.6038923869490556,0.12639405204460966,0.8286140089418778,0.24945770065075923
ResNet50_Pretrained,0.559667920597898,0.44052044609665425,0.5731797814369202,0.5603892386949055,0.44052044609665425,0.43815201192250375,0.49540078843626806,0.41728677733257014,0.8810408921933085,0.10432190760059612,0.5414414414414415,0.6141957641671437,0.0027881040892193307,1.0,0.0
Base_ViT_Pretrained,0.4181422057739932,0.5492565055762082,0.3227343261241913,0.45163136805953064,0.5492565055762082,0.5469448584202683,0.388250319284802,0.5621064682312535,0.14591078066914498,0.9061102831594635,0.1414141414141414,0.6101888952489983,0.00929368029739777,1.0,0.0
SigNet_F,0.39892464778198217,0.5920074349442379,0.9905604720115662,0.40812821980538067,0.5920074349442379,0.5916542473919523,0.3463969658659924,0.3840870062965083,1.0,0.0,0.555004135649297,0.3840870062965083,1.0,0.0,0.555004135649297
